Plant Name,Temperature (°C),Soil Type,Soil pH,Growth Stage,Available Waste Products
Peas,22.5,Chalk,6.8,Growth,"Compost, Coffee Grounds, Fish Emulsion"
Mango,34.0,Loamy,7.3,Growth,"Rice Husk, Grass Clippings, Pea Pods"
Potato,29.6,Silt,7.0,Final,"Coffee Grounds, Rice Husk, Pea Pods"
Tomato,27.0,Peat,8.3,Final,"Mulch (Wood Chips), Coconut Shells, Banana Peels"
Watermelon,18.1,Sand,7.0,Growth,"Worm Castings, Seaweed Extract, Coconut Shells"
Brinjal,18.1,Peat,8.5,Initial,"Fruit Scraps, Cow Manure, Fish Emulsion"
Brinjal,16.2,Loamy,8.1,Growth,"Compost, Coconut Shells, Rice Husk"
Brinjal,32.3,Loamy,6.1,Growth,"Fruit Scraps, Mulch (Wood Chips), Tree Leaves"
Spinach,27.0,Sand,8.3,Initial,"Corn Stalks, Vegetable Scraps, Compost"
Peas,29.2,Clay,5.8,Final,"Pea Pods, Tree Leaves, Chicken Manure"
Carrot,15.4,Sand,8.0,Growth,"Compost, Fruit Scraps, Coffee Grounds"
Beetroot,34.4,Chalk,6.6,Growth,"Grass Clippings, Sugarcane Bagasse, Fish Emulsion"
Watermelon,31.6,Silt,8.1,Final,"Tree Leaves, Sugarcane Bagasse, Rice Husk"
Radish,19.2,Clay,8.1,Final,"Coffee Grounds, Seaweed Extract, Alfalfa Hay"
Cabbage,18.6,Sand,7.9,Initial,"Eggshells, Banana Peels, Compost"
Mango,18.7,Peat,7.9,Final,"Sugarcane Bagasse, Compost, Banana Peels"
Cauliflower,21.1,Clay,6.4,Final,"Grass Clippings, Mulch (Wood Chips), Coconut Shells"
Cauliflower,25.5,Clay,5.7,Final,"Tree Leaves, Vegetable Scraps, Sugarcane Bagasse"
Carrot,23.6,Sand,6.7,Initial,"Eggshells, Seaweed Extract, Cow Manure"
Tomato,20.8,Clay,6.0,Final,"Chicken Manure, Cow Manure, Eggshells"
Watermelon,27.2,Peat,7.6,Final,"Banana Peels, Chicken Manure, Sugarcane Bagasse"
Potato,17.8,Loamy,6.5,Initial,"Alfalfa Hay, Tree Leaves, Pea Pods"
