Plant Name,Soil Type,Temperature,Moisture,Rainfall,Growth Time,Growth Stage,Compost Waste Recommendations,Compost C:N Ratio,Compost Moisture Content,Compost Nitrogen Content,Compost pH Level
Pumpkin,Loamy,21,76,178,46,Initial Stage,"Alfalfa Hay, Compost, Eggshells",25:1,60%,1.5%,6.0
Tomato,Clay,34,41,41,41,Initial Stage,"Eggshells, Fish Emulsion, Rice Husk",25:1,60%,1.5%,6.0
Radish,Loamy,29,38,14,179,Final Stage,"Worm Castings, Tree Leaves, Vegetable Scraps",35:1,50%,2.5%,6.5
Zucchini,Loamy,25,39,110,174,Final Stage,"Chicken Manure, Vegetable Scraps, Tree Leaves",35:1,50%,2.5%,6.5
Pumpkin,Sandy,22,73,156,167,Final Stage,"Coffee Grounds, Eggshells, Seaweed Extract",35:1,50%,2.5%,6.5
Chili,Loamy,21,46,288,147,Final Stage,"Eggshells, Banana Peels, Grass Clippings",35:1,50%,2.5%,6.5
Potato,Clay,33,67,230,51,Initial Stage,"Coffee Grounds, Compost, Seaweed Extract",25:1,60%,1.5%,6.0
Brinjal,Loamy,25,36,156,149,Final Stage,"Vegetable Scraps, Compost, Alfalfa Hay",35:1,50%,2.5%,6.5
Tomato,Sandy,25,75,37,79,Final Stage,"Fish Emulsion, Rice Husk, Chicken Manure",35:1,50%,2.5%,6.5
Pumpkin,Sandy,18,42,96,43,Final Stage,"Alfalfa Hay, Mulch (Wood Chips), Seaweed Extract",35:1,50%,2.5%,6.5
Mango,Clay,22,69,288,58,Initial Stage,"Corn Stalks, Tree Leaves, Coffee Grounds",25:1,60%,1.5%,6.0
Watermelon,Sandy,17,71,253,154,Final Stage,"Rice Husk, Coconut Shells, Coffee Grounds",35:1,50%,2.5%,6.5
Zucchini,Loamy,16,38,195,36,Final Stage,"Rice Husk, Vegetable Scraps, Fruit Scraps",35:1,50%,2.5%,6.5
Garlic,Sandy,26,79,85,58,Initial Stage,"Coffee Grounds, Banana Peels, Compost",25:1,60%,1.5%,6.0
Chili,Clay,20,56,9,168,Final Stage,"Vegetable Scraps, Rice Husk, Coffee Grounds",35:1,50%,2.5%,6.5
Chili,Sandy,16,31,4,62,Final Stage,"Fruit Scraps, Vegetable Scraps, Coconut Shells",35:1,50%,2.5%,6.5
Mango,Sandy,15,34,122,163,Final Stage,"Vegetable Scraps, Worm Castings, Corn Stalks",35:1,50%,2.5%,6.5
Chili,Sandy,26,58,117,140,Final Stage,"Grass Clippings, Rice Husk, Sugarcane Bagasse",35:1,50%,2.5%,6.5
Cucumber,Clay,26,66,293,108,Growth Stage,"Fruit Scraps, Eggshells, Corn Stalks",30:1,55%,2.0%,6.2
Potato,Sandy,31,67,158,87,Growth Stage,"Tree Leaves, Corn Stalks, Sugarcane Bagasse",30:1,55%,2.0%,6.2
Beetroot,Sandy,24,48,227,55,Initial Stage,"Worm Castings, Alfalfa Hay, Sugarcane Bagasse",25:1,60%,1.5%,6.0
Peas,Loamy,30,37,215,58,Growth Stage,"Coffee Grounds, Alfalfa Hay, Pea Pods",30:1,55%,2.0%,6.2
Garlic,Clay,29,77,183,33,Initial Stage,"Cow Manure, Rice Husk, Worm Castings",25:1,60%,1.5%,6.0
Onion,Sandy,29,74,14,128,Final Stage,"Compost, Eggshells, Mulch (Wood Chips)",35:1,50%,2.5%,6.5
Zucchini,Clay,33,30,156,170,Final Stage,"Corn Stalks, Pea Pods, Grass Clippings",35:1,50%,2.5%,6.5
Lettuce,Sandy,26,51,135,68,Growth Stage,"Rice Husk, Vegetable Scraps, Coffee Grounds",30:1,55%,2.0%,6.2
Radish,Sandy,34,46,260,44,Initial Stage,"Pea Pods, Fish Emulsion, Cow Manure",25:1,60%,1.5%,6.0
Cabbage,Sandy,17,36,156,148,Final Stage,"Coconut Shells, Corn Stalks, Rice Husk",35:1,50%,2.5%,6.5
Brinjal,Loamy,19,54,46,58,Final Stage,"Tree Leaves, Fruit Scraps, Corn Stalks",35:1,50%,2.5%,6.5
